MOF,LCD,LCD/PLD,PLD,density (cm3/g),Pore Volume (cm3/g),Porosity,Surface Area (m2/g), %C, %H, %O, %N,%Metal,O-to-M,MP,TDU,DU,H2O_Kh,FA_Kh,FA
ACIBOE_clean,8.25776,1.174527181,7.03071,1.10094,0.595309,0.65539949,1873.86,45,15,32.5,0,7.5,8.666666667,16.66666667,61,0.847222222,7.10E-06,1.90E-05,6.035906506
ACUFEK_clean,15.55627,1.726753447,9.00897,0.559431,1.40679,0.787001936,3941.72,51.61290323,25.80645161,12.90322581,6.451612903,3.225806452,8,6.25,289,0.752604167,7.15E-06,1.57E-05,2.61259587
ACUJOZ_manual,11.50806,1.470605299,7.82539,0.694288,1.0644,0.739000147,3375.59,50.70422535,22.53521127,21.12676056,0,5.633802817,7.5,11.11111111,505,0.779320988,6.95E-06,1.64E-05,3.177381406
ADASAB_charged,22.82402,1.691903865,13.49014,0.343942,2.53996,0.873598922,4829.51,46.32352941,24.26470588,16.17647059,8.823529412,4.411764706,7.333333333,9.523809524,373,0.740079365,4.38E-06,6.95E-06,0.810489103
ADASEF_clean,21.62414,1.979672419,10.92309,0.435607,1.94258,0.846201446,4179.02,46.39175258,21.64948454,13.40206186,12.37113402,6.18556701,4.333333333,13.33333333,277,0.769444444,6.48E-06,1.49E-05,1.843301508
ADASIJ_clean,18.23438,2.762684387,6.60024,0.629251,1.21573,0.764999318,3491.36,47.82608696,26.08695652,21.73913043,0,4.347826087,10,9.090909091,193,0.731060606,7.86E-06,1.85E-05,3.73048852
ADASOP_clean,18.07263,2.691999357,6.71346,0.63164,1.24216,0.784597942,3519.51,47.82608696,26.08695652,21.73913043,0,4.347826087,10,9.090909091,193,0.731060606,8.93E-06,2.24E-05,4.458219509
ADATAC_clean,26.33515,2.562689938,10.27637,0.33727,2.5825,0.870999775,5129.28,48.57142857,28.57142857,14.28571429,5.714285714,2.857142857,10,5.882352941,289,0.708333333,7.03E-06,1.34E-05,1.691427346
ADATEG_manual,27.33782,2.049459331,13.33904,0.238777,3.75246,0.896001141,6170.7,57.93103448,31.03448276,8.275862069,0.689655172,2.068965517,8,3.571428571,493,0.733630952,5.78E-06,8.94E-06,1.031818713
ADATIK_clean,24.55082,2.016617026,12.17426,0.377577,2.32112,0.876401526,4535.57,44.03669725,22.01834862,14.67889908,13.76146789,5.504587156,5.333333333,12.5,289,0.752604167,2.11E-06,1.09E-05,1.346358074
ADOGEH_clean,12.71447,2.516431209,5.05258,1.01991,0.663783,0.67699892,1958.14,31.57894737,31.57894737,21.05263158,10.52631579,5.263157895,8,16.66666667,145,0.503472222,5.29E-05,0.000363107,10.0381314
ADUROI_clean,25.68553,1.499951531,17.12424,0.402567,2.07617,0.835797528,3194.1,47.72727273,29.54545455,13.63636364,6.818181818,2.272727273,12,4.761904762,697,0.691468254,4.20E-06,7.12E-06,0.841048467
ADUWIH_clean,9.28386,1.417084645,6.55138,0.722123,0.982935,0.709799971,2844.14,48.64864865,32.43243243,16.21621622,0,2.702702703,12,5.555555556,145,0.671296296,9.85E-06,2.38E-05,6.596206321
ADUWON_clean,16.37935,2.731147995,5.99724,0.521247,1.50485,0.784398548,4587.82,49.31506849,32.87671233,16.43835616,0,1.369863014,24,2.777777778,289,0.668981481,1.05E-05,2.54E-05,6.724717599
AFEJOK_ion_b,5.99825,1.169958786,5.12689,1.10129,0.52738,0.58079832,1489.79,37.38317757,29.90654206,2.803738318,8.411214953,1.869158879,3,5,25,0.625,1.29E-05,4.47E-05,6.048151972
AFITUF_clean,7.14066,1.404193312,5.08524,1.32285,0.402312,0.532198429,1051.86,53.84615385,25.64102564,10.25641026,2.564102564,2.564102564,8,4.761904762,193,0.765873016,1.09E-05,3.57E-05,3.930765144
AFOYIE_clean,9.08566,1.054107705,8.61929,0.761887,0.931897,0.71000021,2697.6,40,32,0,24,4,0,10,25,0.625,8.47E-06,1.81E-05,6.070407856
AFUKIX_clean,8.69504,1.588303418,5.47442,0.784292,0.813728,0.638200361,2572.85,47.63636364,34.18181818,13.81818182,2.181818182,2.181818182,12.66666667,4.580152672,169,0.645038168,1.20E-05,3.48E-05,8.155721807
AGIREP_clean,10.92956,1.594115682,6.85619,0.99837,0.690726,0.689600117,2253.69,45,15,31.66666667,0,8.333333333,7.6,18.51851852,181,0.837962963,7.54E-06,2.08E-05,5.624097211
AGOFEJ_clean,12.6138,1.44726863,8.71559,0.583675,1.31409,0.767001481,3357.77,44.24778761,38.9380531,7.079646018,7.079646018,2.654867257,5.333333333,6,225,0.5625,8.28E-06,2.21E-05,2.431145614
ALAMUW_clean,11.92678,1.993548053,5.98269,0.64997,1.17082,0.760997875,3766.22,52,16,24,4,4,12,7.692307692,67,0.858974359,1.03E-05,3.08E-05,3.982998721
ALANAD_clean,8.58065,1.477028609,5.8094,0.697286,1.08162,0.754198483,4035.37,52,16,24,4,4,12,7.692307692,177,0.850961538,7.25E-06,1.73E-05,4.109403909
ALEJEI_clean,18.06508,2.53074353,7.13825,0.600782,1.3033,0.782999181,3701.13,44,24,20,8,4,10,9.090909091,385,0.729166667,7.87E-06,1.90E-05,2.844501232
ALEJIM_clean,18.20917,2.561122332,7.10984,0.592075,1.32247,0.783001425,3730.3,44,24,20,8,4,10,9.090909091,385,0.729166667,7.73E-06,1.74E-05,2.834934943
ALIXOJ_clean,7.8603,1.565871675,5.01976,0.979833,0.65256,0.639399822,2049.12,44.73684211,26.31578947,23.68421053,0,5.263157895,9,11.76470588,49,0.720588235,7.44E-06,1.92E-05,4.93875033
ALIXUP_clean,6.38387,1.10886327,5.75713,1.33865,0.410264,0.549199904,1021.37,42.5,25,25,0,7.5,6.666666667,17.64705882,49,0.720588235,1.75E-06,2.57E-06,0.350950744
AMILOY_clean,11.03089,1.201800049,9.17864,1.00746,0.60032,0.604798387,1249.73,44.11764706,35.29411765,11.76470588,5.882352941,2.941176471,8,6.666666667,145,0.604166667,1.83E-05,9.66E-05,4.608997682
AMILUE_clean,11.39418,1.029040074,11.07263,0.982365,0.623394,0.612400447,1276.27,44.11764706,35.29411765,11.76470588,5.882352941,2.941176471,8,6.666666667,73,0.608333333,1.76E-05,8.98E-05,4.341964834
AMIMAL_clean,11.07211,1.164667544,9.50667,0.988926,0.620066,0.613199389,1283.28,44.11764706,35.29411765,11.76470588,5.882352941,2.941176471,8,6.666666667,145,0.604166667,1.76E-05,9.09E-05,3.97693951
AMIMEP_clean,11.21563,1.031327989,10.87494,0.985981,0.611168,0.602600036,1278.57,44.11764706,35.29411765,11.76470588,5.882352941,2.941176471,8,6.666666667,73,0.608333333,1.84E-05,9.25E-05,4.165015356
AMUWUB_clean,10.40349,1.196447054,8.69532,0.914151,0.710823,0.649799556,1565.42,48.68421053,27.63157895,15.78947368,3.947368421,3.947368421,8,8.108108108,54,0.72972973,3.67E-06,8.18E-06,1.121358233
AMUXAI_clean,8.64297,1.108621703,7.79614,1.02442,0.582182,0.596398884,1368.83,48.27586207,29.88505747,13.79310345,4.597701149,3.448275862,8,7.142857143,59,0.702380952,4.18E-06,9.77E-06,1.540950488
ANONAT_manual,7.80429,1.326193385,5.88473,0.800823,0.86511,0.692799986,2885.95,53.57142857,17.85714286,21.42857143,3.571428571,3.571428571,12,6.666666667,51,0.85,9.93E-06,2.74E-05,7.649711458
ANUGEW_clean,14.4419,1.415164967,10.2051,0.443469,1.87747,0.832599743,4708.57,53.16455696,27.84810127,15.18987342,0,3.797468354,8,7.142857143,125,0.744047619,6.20E-06,1.16E-05,1.601926814
ANUGIA_clean,13.85309,2.049764884,6.75838,0.567973,1.39936,0.794798697,4060.62,53.84615385,26.92307692,15.38461538,0,3.846153846,8,7.142857143,64,0.761904762,7.51E-06,1.59E-05,3.119740421
ANUGOG_clean,11.39005,1.606837281,7.08849,0.58467,1.35085,0.78980147,4228.07,53.84615385,26.92307692,15.38461538,0,3.846153846,8,7.142857143,85,0.758928571,8.50E-06,1.89E-05,2.734572628
APUPEH_clean,24.7893,1.759105705,14.09199,0.298214,2.97572,0.887401364,5147.71,58.06451613,12.90322581,25.80645161,0,3.225806452,16,5.555555556,193,0.893518519,5.54E-06,1.02E-05,1.042004924
AQIXUV_clean,8.64919,1.584390914,5.459,0.934501,0.602032,0.562599506,1181.86,47.32394366,40,10.14084507,1.690140845,0.845070423,24,1.785714286,98,0.583333333,5.38E-06,1.46E-05,2.991127814
AQUCOF_clean,9.38154,1.676859033,5.59471,1.04219,0.654777,0.682402042,1876.59,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,3.333333333,24,36,0.72,5.02E-06,1.15E-05,2.150125363
AQUCOG_clean,11.41407,1.07682039,10.59979,1.19971,0.549134,0.658801551,1314.22,44.44444444,11.11111111,33.33333333,0,11.11111111,6,25,64,0.888888889,4.77E-06,1.13E-05,3.946876255
AQUCUM_clean,11.51533,1.07384063,10.7235,1.1988,0.55222,0.662001336,1317.1,44.44444444,11.11111111,33.33333333,0,11.11111111,6,25,64,0.888888889,4.85E-06,1.15E-05,4.115256541
